,gal_num,redshift,xcoord,xcoord_error,ycoord,ycoord_error,int_mag,int_mag_error,half_light_rad,half_light_rad_error,sersic_index,sersic_index_error,axis_ratio,axis_ratio_error,position_angle,position_angle_error,reduced_chi_squared,inclination_angle,is_good_fit,shows_internal_struct,overlaps_w_object,is_big_galaxy,edited,double_model,QSO,azimuthal_angle
2,2234,0.3642559901512221,1453.9,0.02,905.88,0.02,15.36,0.01,0.83,0.06,2.06,0.45,0.74,0.06,-22.66,7.39,1.311,42.26858442957247,True,False,False,False,True,False,J1555+3628,79.73261540806679
3,2239,0.4333783777287409,1938.21,0.04,771.34,0.04,15.2,0.01,4.23,0.06,0.61,0.04,0.79,0.01,-79.37,2.66,1.091,37.81448850601414,True,False,False,True,False,False,J1555+3628,44.84745604598631
4,2241,0.46316,1854.89,0.01,1215.48,0.01,11.48,0.23,304.61,199.65,20.0,2.55,0.56,0.01,80.14,0.64,3.761,55.94420225743209,False,True,False,True,True,True,J1555+3628,59.45648531922139
5,2244,0.4733472465378844,1674.87,0.02,1592.87,0.02,15.04,0.02,3.28,0.09,3.71,0.28,0.44,0.02,-62.96,1.2,1.082,63.8961188626601,True,False,False,True,False,False,J1555+3628,46.62696206219391
0,682,0.07317,3018.05,0.01,3183.57,0.05,13.11,0.01,15.5,0.13,1.76,0.01,0.41,0.0,8.77,0.16,0.556,65.79516519854168,True,False,False,True,False,True,J1001+5944,80.38729248257015
1,686,0.1503949,2941.04,0.11,2768.71,0.07,15.53,0.02,13.03,0.31,1.04,0.05,0.5,0.01,58.84,1.11,1.0,59.99999999999999,True,False,False,True,False,False,J1001+5944,40.62503538774909
2,689,0.23782,2899.69,0.24,2296.07,0.31,17.28,0.03,7.32,0.49,0.45,0.17,0.69,0.06,24.52,8.23,1.094,46.369891132145696,True,False,False,True,False,False,J1001+5944,13.004896432994286
3,698,0.282418,2279.96,0.02,1931.36,0.02,13.48,0.02,10.44,0.35,3.33,0.11,0.78,0.01,-71.73,2.66,2.293,38.73942459785565,False,False,True,True,False,True,J1001+5944,76.68570977044729
4,699,0.282726,3100.62,0.08,3256.82,0.05,15.45,0.01,10.31,0.17,1.23,0.06,0.45,0.01,63.77,0.89,1.033,63.256316049597,True,False,False,True,False,False,J1001+5944,20.098516774787456
5,700,0.2828567,3730.87,0.33,1601.8,0.15,16.32,0.03,12.37,0.53,0.76,0.14,0.22,0.03,88.07,1.39,2.2,77.29096700560457,True,False,False,True,False,False,J1001+5944,44.968416557377765
6,701,0.303086,3165.26,0.1,2414.24,0.06,14.88,0.01,9.74,0.18,0.95,0.07,0.32,0.01,80.69,0.79,4.703,71.33707511505752,True,False,False,True,False,False,J1001+5944,67.81073076307477
7,702,0.3038205,3018.61,0.15,2488.36,0.06,14.32,0.04,14.74,0.06,0.24,0.01,0.44,0.0,76.1,0.62,0.984,63.8961188626601,False,False,True,True,False,True,J1001+5944,7.490916668566562
8,703,0.3039815,3705.67,0.13,2379.73,0.14,15.23,0.14,29.18,5.13,2.44,0.33,0.56,0.02,-44.27,1.84,1.019,55.94420225743209,True,False,True,True,False,False,J1001+5944,44.42229958378799
9,705,0.3050435,3765.73,0.01,1745.24,0.02,13.18,0.0,11.66,0.05,1.54,0.01,0.53,0.0,3.78,0.2,1.231,57.99454517223575,False,True,False,True,False,True,J1001+5944,43.571684039191126
10,706,0.3053359,3745.45,0.05,1546.12,0.08,15.93,0.01,5.16,0.11,1.18,0.16,0.31,0.03,-0.11,1.42,1.313,71.94076950921645,True,False,False,True,False,False,J1001+5944,48.25964970102834
11,715,0.3740997,3298.97,0.02,2655.39,0.02,14.34,0.03,4.76,0.31,8.84,1.38,0.58,0.01,1.0,1.81,0.941,54.54945736082459,True,False,False,True,False,True,J1001+5944,42.46805070674965
12,717,0.3742629,3481.28,0.1,2709.06,0.12,15.59,0.52,40.58,53.57,10.68,5.61,0.46,0.04,37.19,3.06,1.095,62.612892497346095,True,False,True,True,False,False,J1001+5944,2.3088146420851583
13,723,0.4097089,2917.26,0.1,2606.81,0.09,16.28,0.01,5.53,0.17,0.71,0.12,0.75,0.03,-78.41,5.13,1.07,41.40962210927086,True,False,False,True,False,False,J1001+5944,9.640276342457677
14,724,0.4156584,3517.51,0.09,2861.42,0.09,15.31,0.03,11.08,0.46,1.59,0.1,0.91,0.02,-7.61,7.95,0.967,24.49464847141968,True,False,False,True,False,False,J1001+5944,51.01156292785701
15,738,0.5308677,2858.85,0.16,3320.96,0.22,16.22,0.03,10.86,0.4,0.81,0.09,0.68,0.02,-0.83,3.47,1.073,47.15635695640366,True,False,False,True,False,False,J1001+5944,80.28986261207521
16,745,0.583836,3002.89,0.09,1422.16,0.15,16.5,0.02,8.07,0.28,0.99,0.17,0.29,0.03,24.78,1.52,1.048,73.14204397750285,True,False,False,True,False,False,J1001+5944,65.02162883350678
17,746,0.5939835,3019.93,0.12,2819.73,0.14,16.89,0.09,3.4,0.51,4.29,2.28,0.54,0.1,30.4,8.08,1.111,57.31636115374206,True,False,False,True,False,False,J1001+5944,57.820065089979295
0,950,0.074396,2744.54,0.1,2580.82,0.13,15.2,0.02,12.95,0.21,0.58,0.04,0.65,0.01,37.95,1.7,0.99,49.45839812649548,False,False,True,True,False,False,J1022+0132,87.5128772951385
1,951,0.138072,3361.84,0.03,2111.88,0.02,12.69,0.01,17.83,0.1,1.24,0.01,0.5,0.0,-72.57,0.18,0.434,59.99999999999999,True,True,True,True,True,False,J1022+0132,45.03819325764808
2,957,0.270907,1916.43,0.05,1336.4,0.07,13.61,0.01,15.86,0.13,0.98,0.02,0.29,0.0,40.18,0.31,0.971,73.14204397750285,True,False,True,True,False,False,J1022+0132,2.732744839971349
3,962,0.30636,2481.58,0.13,1165.7,0.21,16.16,0.16,10.88,2.61,2.72,0.69,0.54,0.04,-2.38,5.12,0.988,57.31636115374206,True,False,True,True,True,False,J1022+0132,69.36696778699422
4,963,0.30664,2485.41,0.05,1146.55,0.07,15.52,0.01,5.6,0.12,1.25,0.1,0.69,0.02,-14.47,3.16,0.98,46.369891132145696,True,False,True,True,True,False,J1022+0132,81.95534107998024
5,964,0.313184,2961.07,0.09,3464.07,0.12,15.91,0.06,9.63,0.92,2.65,0.42,0.25,0.03,-37.9,1.43,1.065,75.52248781407008,True,False,False,True,False,False,J1022+0132,51.64535136157819
6,968,0.3391882,2620.13,0.16,1814.33,0.11,15.76,0.01,9.7,0.22,0.51,0.06,0.56,0.02,-71.98,1.88,1.032,55.94420225743209,True,False,False,True,False,False,J1022+0132,52.92391461779115
7,973,0.3901778,3418.47,0.19,3122.9,0.23,17.34,0.04,3.66,0.46,0.07,2.15,0.6,0.14,-7.48,14.01,1.117,53.13010235415599,True,False,False,True,False,False,J1022+0132,68.42347018996254
8,980,0.4226696,3313.66,0.08,3233.76,0.08,16.14,0.01,5.1,0.18,0.61,0.13,0.64,0.03,-48.15,3.88,1.076,50.20818050044277,True,False,False,True,False,False,J1022+0132,62.36967722775681
9,985,0.4787481,3607.93,0.2,1766.5,0.18,15.73,0.26,15.04,5.74,3.29,1.15,0.79,0.06,75.31,9.41,1.036,37.81448850601414,False,False,True,True,True,False,J1022+0132,63.93891044410082
10,987,0.47903,3710.77,0.05,2299.4,0.05,15.93,0.02,2.73,0.14,1.99,0.54,0.54,0.05,-65.93,4.33,1.094,57.31636115374206,True,False,False,False,False,False,J1022+0132,64.64272692591142
11,996,0.5340769,3205.92,0.23,3160.84,0.21,17.16,0.05,5.36,0.54,0.83,0.4,0.72,0.1,52.13,14.24,1.09,43.945519562308846,True,False,False,True,False,False,J1022+0132,22.278295166740183
12,999,0.5381302,2667.56,0.06,1508.16,0.05,15.19,0.01,8.29,0.19,1.32,0.08,0.44,0.01,55.05,1.12,1.011,63.8961188626601,True,False,False,True,False,False,J1022+0132,14.414832326019823
13,1001,0.57765,2132.28,0.16,2387.97,0.28,15.55,0.02,16.65,0.39,0.48,0.05,0.44,0.01,-29.7,1.21,0.97,63.8961188626601,True,False,False,True,False,False,J1022+0132,24.793559107133355
14,1003,0.5975848,2982.93,0.08,2809.25,0.09,15.83,0.09,7.28,1.06,3.33,0.73,0.52,0.04,43.57,3.35,1.07,58.667748502405736,True,False,False,True,False,False,J1022+0132,44.94915973178492
15,1004,0.6065352,3691.12,0.08,1963.4,0.1,15.43,0.02,9.21,0.15,0.47,0.04,0.88,0.02,-8.94,7.25,0.946,28.35763657632798,True,False,True,True,True,False,J1022+0132,17.125178418745733
16,1005,0.6068418,3701.97,0.09,1982.0,0.08,16.31,0.05,4.48,0.23,1.53,0.35,0.85,0.06,47.85,17.97,0.949,31.78833061705162,True,False,True,True,True,False,J1022+0132,72.38537484928315
0,1668,0.1464991,1403.13,0.01,1016.28,0.02,12.91,0.0,8.23,0.05,1.12,0.01,0.79,0.0,-23.51,0.74,1.904,37.81448850601414,True,True,False,True,False,False,J1241+5721,79.56906735373046
1,1669,0.1472093,1317.96,0.05,1430.12,0.01,12.45,0.04,5.57,0.69,0.05,0.02,0.05,0.01,81.63,0.36,18.178,87.13401601740114,False,False,False,True,True,False,J1241+5721,60.60339696256915
2,1672,0.1980132,1638.37,0.1,770.63,0.07,16.93,0.06,2.26,0.35,0.06,2.78,0.25,0.17,-78.57,7.44,1.124,75.52248781407008,True,False,False,False,False,False,J1241+5721,1.695776142726593
3,1673,0.2047646,1911.82,0.02,616.2,0.03,14.61,0.01,2.97,0.06,1.15,0.11,0.06,0.01,81.43,0.58,1.656,86.56018723248481,False,False,False,False,True,False,J1241+5721,38.007901667173
4,1693,0.4568807,2068.65,0.04,1139.23,0.04,14.35,0.01,9.26,0.11,0.85,0.03,0.41,0.01,-43.84,0.5,1.389,65.79516519854168,True,True,False,True,False,False,J1241+5721,32.1686441177752
5,1695,0.4580118,1820.67,12.53,1402.17,10.49,16.53,696.26,4.69,5937.24,0.02,100.22,0.04,21.7,48.26,1587.19,1.147,87.70755722404411,False,False,True,True,True,False,J1241+5721,17.447889700295274
6,1698,0.4711404,1672.92,0.02,1789.58,0.02,14.63,0.01,4.67,0.06,1.92,0.09,0.4,0.01,-57.25,0.68,1.102,66.42182152179817,True,True,False,True,False,False,J1241+5721,44.76431590503443
7,1707,0.583482,1551.61,0.07,1277.79,0.06,15.55,0.36,2.01,1.08,13.94,13.61,0.4,0.07,-20.17,4.7,1.074,66.42182152179817,True,False,True,False,False,False,J1241+5721,60.50648944948788
0,256,0.285246,2570.57,0.13,1563.14,0.08,16.57,0.02,5.09,0.2,0.72,0.17,0.31,0.04,-78.98,2.12,1.094,71.94076950921645,True,False,False,True,False,False,J0843+4117,47.07348380621356
1,257,0.28566,3838.65,0.05,1739.24,0.03,13.42,0.01,18.01,0.1,0.85,0.01,0.46,0.0,75.38,0.22,0.749,62.612892497346095,True,True,False,True,False,False,J0843+4117,67.03037780953164
2,260,0.2984653,3526.76,0.09,2393.01,0.06,14.94,0.02,16.01,0.29,1.3,0.05,0.18,0.0,-59.02,0.31,0.994,79.63024019452257,True,False,False,True,False,False,J0843+4117,71.33848075250904
3,261,0.29873,2228.21,0.08,1777.06,0.07,13.4,0.2,38.51,9.12,2.86,0.33,0.81,0.02,60.61,3.2,0.965,35.90406858331717,False,True,False,True,False,False,J0843+4117,29.8104851170283
4,263,0.3041141,2411.32,0.12,3253.88,0.16,17.18,0.03,3.28,0.24,0.95,0.57,0.29,0.12,4.59,4.9,1.117,73.14204397750285,True,False,False,True,False,False,J0843+4117,58.39564040459129
5,276,0.45519,3080.66,0.09,1771.28,0.15,14.9,0.02,14.72,0.24,0.73,0.03,0.52,0.01,7.89,0.97,0.914,58.667748502405736,True,False,False,True,False,False,J0843+4117,79.14335432584147
6,282,0.4681429,3843.69,0.13,1995.74,0.14,16.07,0.02,7.16,0.23,0.73,0.08,0.87,0.03,-28.86,9.77,1.075,29.541360500142797,False,True,False,True,False,False,J0843+4117,6.281469669045976
7,283,0.4788563,3324.28,0.2,2916.25,0.1,14.27,0.02,25.66,0.38,0.61,0.02,0.48,0.0,-63.48,0.6,0.747,61.31459798588108,False,False,True,True,False,False,J0843+4117,45.89369164386149
8,284,0.4795431,2772.76,0.1,3353.31,0.08,16.53,0.03,4.51,0.23,1.45,0.26,0.43,0.04,52.06,3.14,1.125,64.53243985752763,True,False,False,True,False,False,J0843+4117,55.62705070732501
9,287,0.5323377,3217.28,0.07,2422.24,0.05,15.86,0.01,5.36,0.1,0.22,0.05,0.5,0.02,76.25,1.4,1.114,59.99999999999999,True,False,False,True,False,False,J0843+4117,28.38294116749959
10,290,0.5409919,3181.42,0.06,2167.03,0.07,16.54,0.02,2.27,0.17,1.77,0.62,0.66,0.07,24.22,8.12,1.086,48.70012720829413,True,False,False,False,False,False,J0843+4117,85.64970293600108
11,298,0.5756506,3277.82,0.14,3055.78,0.1,15.89,0.03,8.15,0.24,1.0,0.09,0.62,0.02,85.1,2.66,1.071,51.68386552633426,False,True,False,True,False,False,J0843+4117,7.779324357793779
12,300,0.5786189,2645.84,0.03,1695.75,0.03,14.04,0.02,11.42,0.37,2.39,0.08,0.78,0.01,-85.22,1.49,0.875,38.73942459785565,True,True,False,True,False,False,J0843+4117,42.126209281450784
13,303,0.5820875,2481.8,0.05,1876.23,0.04,15.21,0.01,5.25,0.09,0.94,0.05,0.85,0.01,-70.12,3.95,1.083,31.78833061705162,True,False,False,True,False,False,J0843+4117,75.69859065358844
0,1089,0.2598268,2273.64,0.04,2539.97,0.03,15.04,0.01,4.45,0.08,2.01,0.12,0.78,0.02,67.86,3.13,1.15,38.73942459785565,True,False,False,True,False,False,J1059+1441,83.60280283734586
1,1090,0.2603234,2301.42,0.02,2466.83,0.02,13.2,0.02,23.81,0.43,2.1,0.03,0.4,0.0,-39.38,0.19,0.515,66.42182152179817,True,True,False,True,False,False,J1059+1441,28.00679358982928
2,1091,0.3278508,2210.93,0.08,2304.6,0.12,15.76,0.01,7.02,0.2,0.53,0.1,0.43,0.02,29.82,1.74,2.016,64.53243985752763,True,False,False,True,False,False,J1059+1441,29.84966352829115
3,1095,0.4448512,4059.54,0.15,1763.0,0.2,16.04,0.18,14.94,3.76,2.7,0.62,0.6,0.04,13.35,4.1,1.043,53.13010235415599,True,False,False,True,False,False,J1059+1441,43.03497883718707
4,1103,0.5762155,3585.57,0.03,3079.22,0.04,15.32,0.01,4.86,0.07,0.68,0.05,0.79,0.01,-28.77,2.61,1.024,37.81448850601414,True,False,False,True,False,False,J1059+1441,87.25147845849997
5,1105,0.5774577,2838.27,0.2,2384.2,0.1,16.22,0.02,10.16,0.27,0.67,0.08,0.36,0.02,-72.79,1.31,1.01,68.89980397590698,True,False,False,True,False,False,J1059+1441,56.38672703245649
6,1108,0.6349522,2650.72,0.13,1912.47,0.08,15.99,0.01,8.45,0.18,0.73,0.07,0.44,0.02,81.08,1.31,1.044,63.8961188626601,True,False,False,True,False,False,J1059+1441,40.63867750845813
0,6,0.2928785,2123.84,0.22,3063.63,0.17,17.13,0.03,5.08,5.18,0.06,0.73,0.46,0.11,70.41,5.61,1.133,62.612892497346095,True,False,False,True,False,False,J0226+0015,65.63321373588074
1,7,0.29762,2167.89,0.15,2118.53,0.1,16.31,0.01,6.73,0.21,0.59,0.13,0.43,0.03,82.29,2.11,1.095,64.53243985752763,True,False,False,True,False,False,J0226+0015,75.96988811944985
2,11,0.334506,3866.47,0.11,2471.71,0.16,16.72,0.03,6.34,0.29,1.01,0.24,0.3,0.05,37.6,2.59,1.106,72.5423968762779,True,False,False,True,False,False,J0226+0015,20.74748746154977
3,14,0.3494243,3101.92,0.07,2724.47,0.05,15.24,0.02,8.57,0.19,1.75,0.08,0.47,0.01,73.25,1.14,1.039,61.96570346511873,True,False,False,True,False,False,J0226+0015,6.325485237226496
4,17,0.3618539,3465.55,0.08,1776.3,0.06,15.9,0.03,5.96,0.29,2.42,0.33,0.43,0.03,-69.04,2.07,1.095,64.53243985752763,True,False,False,True,False,False,J0226+0015,25.50036538254617
5,29,0.5070571,3404.01,0.2,2884.78,0.22,17.04,0.03,5.19,0.36,0.33,0.19,0.85,0.06,34.94,18.9,1.098,31.78833061705162,True,False,False,True,False,False,J0226+0015,24.56736049255873
6,33,0.5590382,3182.94,0.22,1416.5,0.17,17.0,0.05,5.29,0.43,1.6,0.59,0.41,0.08,-85.47,5.02,1.128,65.79516519854168,True,False,False,True,False,False,J0226+0015,7.910636701579514
7,48,0.6141225,3346.53,0.06,1712.33,0.04,14.34,0.02,14.38,0.26,1.44,0.04,0.65,0.01,-66.55,0.95,0.982,49.45839812649548,True,False,False,True,False,False,J0226+0015,10.728401091413652
8,56,0.6193318,3663.41,0.06,2336.73,0.08,15.21,0.01,8.39,0.14,0.91,0.05,0.68,0.01,4.56,1.71,1.048,47.15635695640366,True,False,False,True,False,False,J0226+0015,6.247619376154498
0,1134,0.1187836,2803.12,0.02,3100.35,0.01,13.72,0.0,13.4,0.05,1.08,0.01,0.29,0.0,71.78,0.1,0.839,73.14204397750285,True,True,False,True,True,False,J1059+2517,44.77223560539402
1,1135,0.1196036,2880.42,0.06,4388.16,0.05,15.75,0.01,5.49,0.1,0.76,0.05,0.78,0.02,-74.33,3.05,1.216,38.73942459785565,True,False,False,True,False,False,J1059+2517,32.69329735541591
2,1137,0.214356,3609.5,0.0,3534.44,0.0,10.58,0.05,111.08,12.26,10.23,0.29,0.78,0.0,63.56,0.44,0.702,38.73942459785565,False,True,False,True,True,False,J1059+2517,35.67115338800938
3,1138,0.2146701,1768.46,0.02,1752.3,0.02,15.57,0.0,4.61,0.05,1.5,0.06,0.25,0.01,-39.83,0.39,1.067,75.52248781407008,True,False,False,True,False,False,J1059+2517,79.84508437850161
4,1146,0.276037,2124.09,0.07,3950.53,0.05,16.32,0.02,6.66,0.21,1.69,0.11,0.29,0.02,78.22,0.98,1.097,73.14204397750285,True,False,False,True,False,False,J1059+2517,28.02039993257367
5,1148,0.2761983,2290.49,0.04,3762.94,0.12,16.49,0.01,7.93,0.12,0.54,0.06,0.29,0.01,-12.85,0.92,1.075,73.14204397750285,True,False,True,True,True,False,J1059+2517,68.03542518846395
6,1154,0.3739654,3442.61,0.19,2189.77,0.16,16.84,0.03,11.23,0.54,1.02,0.13,0.16,0.01,-51.02,0.86,1.034,80.7931037786541,True,False,True,True,False,False,J1059+2517,15.704993531256395
7,1160,0.4490034,2242.5,0.23,3140.47,0.05,16.87,0.21,7.69,0.34,0.28,0.09,0.03,0.01,-68.65,0.86,1.271,88.2808686791222,False,False,False,True,False,False,J1059+2517,17.27252818823795
8,1169,0.5400396,2477.81,0.05,3926.04,0.02,14.72,0.0,12.59,0.09,0.83,0.02,0.34,0.0,83.47,0.24,1.055,70.12312592992117,True,True,False,True,False,False,J1059+2517,3.698752839184266
9,1174,0.5936934,2232.78,0.12,2504.28,0.17,16.93,0.04,6.5,0.37,0.95,0.17,0.46,0.03,-38.0,3.06,1.206,62.612892497346095,True,False,False,True,False,False,J1059+2517,77.69957091644154
0,1609,0.0795256,2310.83,0.05,1054.21,0.04,15.58,0.01,7.35,0.11,0.87,0.03,0.56,0.01,68.98,0.91,1.072,55.94420225743209,True,False,False,True,False,False,J1233-0031,80.48137253455025
1,1613,0.19375,2042.14,0.03,1722.42,0.02,13.65,0.01,8.52,0.04,1.29,0.01,0.65,0.0,-13.82,0.55,1.464,49.45839812649548,True,True,False,True,True,True,J1233-0031,66.60271486196494
2,1623,0.3183215,1664.84,0.1,1478.75,0.07,16.81,0.02,3.99,0.17,0.77,0.18,0.58,0.04,86.98,3.68,1.126,54.54945736082459,True,False,False,True,False,False,J1233-0031,2.2055180847328413
3,1625,0.3187429,1730.24,0.12,1240.7,0.11,17.12,0.03,3.72,0.23,0.55,0.19,0.91,0.06,-60.37,24.27,1.056,24.49464847141968,True,False,False,True,True,False,J1233-0031,88.81860014204445
4,1626,0.3189986,1723.24,0.04,1258.83,0.03,15.37,0.01,5.17,0.07,0.72,0.04,0.82,0.01,-71.97,2.82,1.251,34.91520624744419,True,False,True,True,False,False,J1233-0031,69.35018867418168
5,1627,0.3247705,1435.82,0.05,1455.71,0.05,16.06,0.01,3.92,0.08,1.03,0.1,0.71,0.02,4.15,3.35,1.097,44.76508467132842,True,False,False,True,False,False,J1233-0031,56.70562620958455
6,1629,0.347213,1733.7,0.03,649.39,0.04,16.06,0.01,3.04,0.1,2.15,0.26,0.24,0.03,-17.7,1.27,1.164,76.11345963737101,False,False,True,True,False,False,J1233-0031,62.33348251905036
7,1640,0.4221191,1292.47,0.04,1243.0,0.04,16.1,0.03,0.86,0.12,3.94,1.59,0.68,0.09,84.91,11.0,1.113,47.15635695640366,True,False,False,False,False,False,J1233-0031,86.54580445184332
8,1642,0.4296068,1381.45,0.06,1229.9,0.05,16.74,0.02,1.04,0.23,2.29,1.55,0.64,0.13,-52.39,13.46,1.413,50.20818050044277,True,False,False,False,False,False,J1233-0031,43.787329866989786
9,1643,0.4297402,1378.41,0.12,1333.15,0.07,16.67,0.02,4.73,0.17,0.57,0.12,0.1,0.05,-88.82,1.81,1.294,84.26082952273322,True,False,False,True,False,False,J1233-0031,60.165324829318976
10,1646,0.4726454,1595.87,0.04,1140.07,0.02,15.32,0.05,2.94,0.32,6.58,1.47,0.47,0.04,-4.14,3.12,1.033,61.96570346511873,True,True,False,False,True,True,J1233-0031,54.19848725886898
11,1648,0.5171056,1614.0,0.09,820.17,0.11,17.4,0.03,2.45,0.21,1.09,0.58,0.57,0.1,0.68,8.87,1.163,55.24977424631754,True,False,False,False,False,False,J1233-0031,85.53642921908681
12,1650,0.54032,1500.42,7.69,1502.95,6.48,16.73,296.24,0.01,8.89,4.91,1681.0,0.98,166.84,60.52,26016.0,1.624,11.47834095453358,False,False,True,False,False,False,J1233-0031,53.36019645068401
0,628,0.22892,1190.9,0.01,1187.9,0.01,13.06,0.01,9.63,0.16,3.44,0.05,0.62,0.0,-60.86,0.43,1.183,51.68386552633426,False,True,False,True,False,False,J0943+0531,68.1831629981467
1,640,0.3205896,1684.04,0.03,1828.54,0.04,15.4,0.03,3.7,0.19,3.3,0.26,0.7,0.03,6.04,3.31,1.09,45.5729959991943,True,False,True,True,False,False,J0943+0531,66.66194477465322
2,642,0.34987,1512.09,0.03,576.51,0.03,14.69,0.01,5.62,0.06,0.67,0.02,0.81,0.01,-17.74,1.81,1.061,35.90406858331717,True,False,False,True,False,False,J0943+0531,70.91114328610219
3,646,0.3546021,1515.03,0.15,1082.73,0.14,16.84,0.03,5.3,0.3,0.62,0.13,0.59,0.04,-47.21,4.55,1.125,53.84299179900117,True,False,False,True,False,False,J0943+0531,35.58621133734054
4,650,0.4452019,1766.13,0.09,1520.85,0.11,17.38,0.03,2.24,0.22,0.8,0.38,0.64,0.09,-27.57,10.83,1.13,50.20818050044277,True,False,False,False,False,False,J0943+0531,75.03940950532693
5,653,0.54846,1240.59,0.03,1579.56,0.03,15.25,0.01,3.83,0.07,1.12,0.04,0.93,0.02,-30.12,9.19,1.099,21.56518501524267,True,False,False,True,False,False,J0943+0531,23.860850670558797
6,654,0.5485639,1347.33,0.05,1179.64,0.07,15.66,0.01,5.26,0.1,0.55,0.04,0.6,0.01,-7.08,1.57,1.124,53.13010235415599,True,True,False,True,False,False,J0943+0531,24.736998914242424
7,658,0.5661881,1447.42,0.07,1220.39,0.06,16.94,0.02,2.54,0.16,1.02,0.35,0.43,0.06,49.77,4.08,1.152,64.53243985752763,True,False,False,False,False,False,J0943+0531,41.90340340729259
0,1403,0.06343,1728.82,0.06,1474.62,0.15,16.45,0.02,7.64,0.23,0.64,0.08,0.18,0.01,-23.36,0.77,1.321,79.63024019452257,True,False,False,True,False,False,J1133+0327,69.20959280706614
1,1409,0.218072,1609.61,0.04,670.88,0.04,15.93,0.13,3.21,0.9,8.43,2.44,0.71,0.05,77.32,6.38,1.129,44.76508467132842,True,False,False,True,False,False,J1133+0327,39.00171882310691
2,1411,0.2345118,1051.15,0.03,1184.72,0.04,16.19,0.05,2.18,0.16,4.06,0.79,0.73,0.05,34.0,6.47,1.152,43.11360594589871,True,False,False,False,False,False,J1133+0327,44.602118058229614
3,1412,0.2358933,998.43,0.0,1511.64,0.01,13.66,0.0,4.06,0.03,2.48,0.04,0.52,0.0,-41.81,0.28,1.292,58.667748502405736,True,True,True,True,False,False,J1133+0327,3.3117658862237924
4,1414,0.2361899,1069.74,0.01,992.21,0.0,10.34,0.08,398.62,70.62,12.74,0.44,0.5,0.0,50.58,0.19,0.469,59.99999999999999,False,True,False,True,True,False,J1133+0327,28.30352402330926
5,1417,0.2366906,1405.2,0.01,1088.27,0.01,11.66,0.02,33.96,1.23,4.72,0.07,0.75,0.0,-9.95,0.38,0.815,41.40962210927086,True,True,False,True,False,False,J1133+0327,50.96416023699175
6,1419,0.2368631,920.3,0.02,1627.75,0.01,14.59,0.0,4.94,0.03,0.74,0.01,0.59,0.0,74.55,0.43,1.148,53.84299179900117,True,True,False,True,False,False,J1133+0327,58.11498246393489
7,1420,0.2461474,1338.63,0.01,862.04,0.02,15.49,0.0,3.03,0.04,0.87,0.06,0.45,0.01,-29.18,0.78,1.139,63.256316049597,True,False,False,True,False,False,J1133+0327,71.24741384632907
